BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
4,Whitefield,3.10,13901.0,2230.0,10+,Semi-Furnished,East,Available,4,2,Garden/Park,Bangalore
2,Sarjapura,0.406,4000.0,1014.0,3,Unfurnished,East,Available,2,2,Garden/Park,Bangalore
1,others,0.73,12026.0,607.0,10+,Semi-Furnished,East,Available,1,1,"Garden/Park, Pool, Main Road",Bangalore
3,Hennur Main Road,1.80,9479.0,1899.0,,Unfurnished,,May be not,3,,,Bangalore
2,Gunjur,1.36,10462.0,1300.0,8,Unfurnished,East,Available,2,1,Main Road,Bangalore
2,Gunjur,1.30,9630.0,1350.0,1,Unfurnished,East,Available,2,1,"Pool, Garden/Park, Main Road",Bangalore
2,Gunjur,1.26,9363.0,1346.0,4,Unfurnished,East,Available,2,1,"Garden/Park, Pool",Bangalore
2,Gunjur,1.26,9367.0,1345.0,2,Unfurnished,East,Available,2,2,"Garden/Park, Pool",Bangalore
2,Gunjur,1.30,9630.0,1350.0,1,Unfurnished,East,Available,2,1,"Pool, Garden/Park, Main Road",Bangalore
3,Hebbal,2.30,13982.0,1645.0,2,Semi-Furnished,East,Available,3,2,"Garden/Park, Pool, Main Road",Bangalore
3,Hebbal,2.80,11667.0,2400.0,10+,Semi-Furnished,East,Available,4,1,"Garden/Park, Main Road",Bangalore
3,others,0.5720000000000001,4145.0,1380.0,2,Unfurnished,East,Available,2,,Main Road,Bangalore
3,others,1.90,9500.0,2000.0,3,Semi-Furnished,North - East,Available,3,3,,Bangalore
2,others,0.726,5700.0,1274.0,1,Unfurnished,East,May be not,2,2,"Garden/Park, Pool, Main Road",Bangalore
3,Panathur,2.30,14277.0,1611.0,10+,Unfurnished,East,Available,2,1,Garden/Park,Bangalore
3,others,1.20,9084.0,1321.0,3,Unfurnished,North,Available,2,1,"Garden/Park, Pool, Main Road",Bangalore
2,others,1.50,11765.0,1275.0,7,Unfurnished,East,May be not,2,2,"Garden/Park, Main Road",Bangalore
3,Hebbal,3,18237.0,1645.0,9,Semi-Furnished,East,Available,3,2,"Garden/Park, Pool, Main Road",Bangalore
3,others,1.64,9950.0,1648.0,9,Unfurnished,,May be not,3,2,,Bangalore
3,Hebbal,2.30,11587.0,1985.0,8,Unfurnished,,May be not,3,2,Main Road,Bangalore
3,Whitefield,4.50,16346.0,2753.0,10+,Unfurnished,East,Available,4,1,,Bangalore
